Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
File,"Junk2.java",,9,,,,2
File,"Junk2.java",,9,,,,2
File,"Junk3.java",,9,,,,2
File,"Junk3.java",,9,,,,2
File,"Junk4.java",,9,,,,2
File,"Junk4.java",,9,,,,2
File,"Junk5.java",,9,,,,2
File,"Junk5.java",,9,,,,2
File,"Junk6.java",,9,,,,2
File,"Junk6.java",,9,,,,2
File,"Junk7.java",,9,,,,2
File,"Junk7.java",,9,,,,2
File,"Junk8.java",,9,,,,2
File,"Junk8.java",,9,,,,2
File,"Junk9.java",,9,,,,2
File,"Junk9.java",,9,,,,2
File,"Jvc.java",,50,,,,8
File,"KaffeRmic.java",,33,,,,4
File,"KeepAliveOutputStream.java",,11,,,,2
File,"KeepAliveOutputStream.java",,11,,,,2
File,"KeySubst.java",,115,,,,20
File,"Kjc.java",,76,,,,14
File,"LibFileSet.java",,33,,,,6
File,"LibPath.java",,61,,,,12
File,"LibraryDisplayer.java",,106,,,,18
File,"LineContains.java",,88,,,,21
File,"LineContainsRegExp.java",,87,,,,19
File,"LineContainsTest.java",,22,,,,4
File,"LoadFile.java",,99,,,,18
File,"LoadFileTest.java",,72,,,,17
File,"LoadLib.java",,54,,,,11
File,"LoadProperties.java",,83,,,,14
File,"LoadPropertiesTest.java",,19,,,,4
File,"LoaderUtils.java",,56,,,,9
File,"LoaderUtils.java",,148,,,,33
File,"Location.java",,43,,,,10
File,"Location.java",,30,,,,6
File,"LocationResolver.java",,30,,,,4
File,"Log4jListener.java",,108,,,,26
File,"LogOutputStream.java",,46,,,,10
File,"LogStreamHandler.java",,19,,,,3
File,"LongCPInfo.java",,14,,,,3
File,"MAudit.java",,154,,,,37
File,"MAuditParser.java",,37,,,,4
File,"MAuditParserTest.java",,36,,,,5
File,"MAuditStreamHandler.java",,134,,,,22
File,"MMetrics.java",,124,,,,25
File,"MMetricsStreamHandler.java",,236,,,,41
File,"MParse.java",,206,,,,43
File,"MSVSS.java",,95,,,,15
File,"MSVSSADD.java",,86,,,,20
File,"MSVSSCHECKIN.java",,104,,,,23
File,"MSVSSCHECKOUT.java",,112,,,,27
File,"MSVSSCP.java",,42,,,,9
File,"MSVSSCREATE.java",,69,,,,16
File,"MSVSSGET.java",,134,,,,33
File,"MSVSSHISTORY.java",,197,,,,45
File,"MSVSSLABEL.java",,90,,,,22
File,"MagicProperties.java",,5,,,,0
File,"MailLogger.java",,92,,,,16
File,"MailMessage.java",,246,,,,59
File,"Mailer.java",,56,,,,12
File,"Main.java",,546,,,,109
File,"Main.java",,101,,,,17
File,"Main.java",,6,,,,1
File,"MajoritySelector.java",,45,,,,9
File,"Manifest.java",,542,,,,123
File,"ManifestException.java",,6,,,,1
File,"ManifestTask.java",,100,,,,20
File,"ManifestTest.java",,180,,,,24
File,"Mapper.java",,148,,,,34
File,"MapperTest.java",,125,,,,15
File,"MatchingTask.java",,148,,,,41
File,"MergingMapper.java",,11,,,,3
File,"Message.java",,54,,,,11
File,"MessageLevel.java",,8,,,,0
File,"MessageReaderTest.java",,61,,,,9
File,"Messenger.java",,50,,,,12
File,"MethodInfo.java",,93,,,,19
File,"MethodRefCPInfo.java",,49,,,,8
File,"MimeMail.java",,11,,,,1
File,"MimeMailer.java",,92,,,,10
File,"Mkdir.java",,29,,,,6
