Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Public Method,"Find.setFile",,,,3,3,1,,,1
Public Method,"Find.setFile",,,,3,3,1,,,1
Public Method,"Find.setLocation",,,,3,3,1,,,1
Public Method,"Find.setLocation",,,,3,3,1,,,1
Public Method,"Find.setLocation",,,,3,3,1,,,1
Public Method,"Find.setLocation",,,,3,3,1,,,1
Public Method,"Find.setPrint",,,,3,3,1,,,1
Public Method,"Find.setProperty",,,,3,3,1,,,1
Public Method,"Find.setValue",,,,3,3,1,,,1
Protected Method,"Find.validate",,,,5,5,4,,,4
Protected Method,"Find.validate",,,,5,5,4,,,4
Protected Method,"Find.validate",,,,5,5,4,,,4
Protected Method,"Find.validate",,,,5,5,4,,,4
Public Class,"FindTest",5,0,7,64,54,,1,50,7
Public Class,"FindTest",5,0,6,56,47,,1,50,6
Public Class,"FindTest",5,0,6,56,47,,1,50,6
Public Class,"FindTest",5,0,7,64,52,,1,50,7
